Feature,SHAP_Value
Sensor_Factory_Humidity,0.02122474689138677
Process_Spray_Time,0.02055329911492538
Process_Clamping_Force,0.020017747156298
Process_Cycle_Time,0.019590478563126356
Process_High_Velocity,0.0193284040405881
Process_Shot,0.017997792455050843
Sensor_Melting_Furnace_Temp,0.017668300023047565
Process_Spray_1_Time,0.016822184715872872
Sensor_Coolant_Pressure,0.014600679931260943
Sensor_Coolant_Temp,0.013811971070244572
Process_Casting_Pressure,0.012934873732432513
Sensor_Air_Pressure,0.01285726325126735
Sensor_Factory_Temp,0.01257884158201529
Process_Spray_2_Time,0.010962711486765137
Process_Velocity_3,0.00975172601181722
Process_Biscuit_Thickness,0.009690711873289598
Process_Velocity_2,0.009119369138793802
Process_ Pressure_Rise_Time,0.00864741320265908
Process_Velocity_1,0.008535564786196138
Process_Cylinder_Pressure,0.007602401735501165
Process_Rapid_Rise_Time,0.005481692796371177
Process_Product_Type_2,0.0028837011321122402
Sensor_Coolant_Temp_Max,0.0
Sensor_Coolant_Temp_Min,0.0
Sensor_Factory_Temp_Min,0.0
Sensor_Factory_Temp_Max,0.0
Sensor_Air_Pressure_Min,0.0
Sensor_Factory_Humidity_Min,0.0
Sensor_Factory_Humidity_Max,0.0
Sensor_Air_Pressure_Max,0.0
