Feature,SHAP_Value
Process_Shot,0.12174167505774244
Process_High_Velocity,0.08583692853511643
Sensor_Melting_Furnace_Temp,0.0823752076501047
Sensor_Factory_Humidity,0.07419447668800547
Process_Velocity_3,0.059901031759526616
Sensor_Coolant_Pressure,0.05259982974864819
Process_Clamping_Force,0.05076995147672285
Sensor_Air_Pressure,0.04940273076324528
Process_Velocity_1,0.04880304150725159
Sensor_Factory_Temp,0.048036803154957466
Process_Velocity_2,0.04523133873048613
Process_Casting_Pressure,0.04384155046995657
Process_ Pressure_Rise_Time,0.03945248046418841
Process_Cycle_Time,0.039256843622303014
Sensor_Coolant_Temp,0.034829471788054754
Process_Biscuit_Thickness,0.03190012978604123
Process_Rapid_Rise_Time,0.02910662797919455
Process_Spray_Time,0.02314909369345613
Process_Cylinder_Pressure,0.020329752359343325
Process_Spray_1_Time,0.010975076860142952
Process_Spray_2_Time,0.0070754776147061715
Process_Product_Type_2,0.0011904802908057385
Sensor_Air_Pressure_Min,0.0
Sensor_Air_Pressure_Max,0.0
Sensor_Coolant_Temp_Min,0.0
Sensor_Coolant_Temp_Max,0.0
Sensor_Factory_Temp_Min,0.0
Sensor_Factory_Temp_Max,0.0
Sensor_Factory_Humidity_Min,0.0
Sensor_Factory_Humidity_Max,0.0
